sentence1,sentence2,label
短信验证码收不到,开通审批成功手机通知信息,0
不满足微粒贷要求,不能借款是什么问题？,1
没有微利带,无法填写借款金额,0
多长时间才能回过来电话,下次打电话什么时间,1
为什么我没有这个软件,、我微信怎么没这个功,1
为什么我的微粒贷显示综合评估未通过审核,为什么借款回复是未通过了？,1
下载了仍然无法登录。,又不能登录了,1
支持建设银行卡贷款吗,微粒贷账号,0
微粒贷何时会邀请我,一周年不放名额,0
刚才没接到,多久可以知道是否成功批准,0
怎么没有扣款啊！,17点怎么没有扣款,1
10000换多少钱,为什么我的额度有103000元，只能贷一万出,0
咋没有看到a,从哪里贷,0
网络不安全，无法登陆,怎么现在微信登陆不了？,1
验证码出错,为什么重复发送验证码？？？,1
2如何代款,你好我想问你们2月2号还上班的不，我可能2号会贷款。,0
电话审核时间,请问电话审查有期限吗,1
咱们客服电话是多少啊,可以打电话，人工提升额度吗,0
为什么我借款它显示，身份信息多次输入错误，不能借款，但是我没有输错呀,我借钱输入的信息明明是对的，为什么老是说信息错误呢？,1
提前还款后还可以贷吗,提前还款完，可以在借款吗,1
一般什么时候会到帐,27号借款，会多久到账,1
为什么这次说我评估不过关呢。,为啥评分不足,1
以前的那个银行卡折断了换卡了可以还款吗？,我当时选择的是建设银行 为什么系统搞的交通银行 我没有 好无语,1
为什么我用微信验证登录不了呢,卸载还是登不上,1
我怎么不贷，微信账单又不少,我每个月微信支付账单最低都快2万了，都没……,1
怎么还款,我想问一下，我微粒贷还完了，还能不能再借,0
QQ钱包为什么没有,qq上面没有微粒贷啊,1
刚接过一次电话，之后就没再打过来,刚有事没听到,1
如何提升额高,如何捉升额度,1
你好我想咨询下，我要更改还款卡号，怎么操作,如何更换还款金额,0
今天借明天换多少利息,你好，我问下，比如我借了2万，借了1个月零20天是算多少日子的利息,1
我提前还款了还能借出来吗,1000额度，我这个月提前还清，我这个月是不能继续借这一千的吗,1
计息,我借27000一天要多少利息,1
手机都没响，只有个短信提醒说打来电话！,申请后，不管成功与否都会有短信通知，是吗？,0
转账出去金额有没有限制？,转入金额,0
信息,补全信息,1
建设限额,邮政限额,1
借款审核未通过，什么原因,6，未满足微众审批要求,1
定期存款和实体银行是否一样，购买后在哪里显示有没有保障,微众银行app里面有定期存款功能，这个适用于存款保险条例吗？,1
页面上没有显示微利贷,请问一下我钱包里的微粒贷入口怎么不见了？,1
我的微信里面怎么没微粒贷？,怎么我这里没看见有微粒贷呢？,1
我贷款了没接到电话,刚刚没有接到电话，一般第二次打电话需要多久？,1
我有笔借款麻烦帮我取消下,不可以取消借款吗,1
如果借十万，分五期还，利息合计是多少,一千块十个月还款利息是多少,1
一般借钱后多长时间银行会打电话确认验证？,借款后多久有电话过来,1
为什么我的没通过,为什么我的借款失败,1
比如我贷款10000元，能否将钱从银行提现,贷款后提现单笔不能大于500？,0
借款了没有打电话跟我确认,微信上怎么打开,0
一千快一天是多少利息,五个月利息多少,0
现在不可以还款吗？,9.29号借的现在9.30号了，还不能还款,1
我以前的手机号，现在我老婆在用,怎么修改绑定的电话号码,1
上面写借款成功、钱沒到,3天都没接到电话？是啥原因,0
提交申请多长时间会打电话给我,银行电话啥时候打,1
什么时候可以借钱给我？,什么时候可以申请代款？,1
为什么借钱验证码要发送到我的旧手机号上,为什么我是输入验证码后就没反应了？,0
你好我们的官网电话是多少？,你电话多少,1
咋我的不可以,为什么我没有,1
我是说到了还款日，自动从我卡里扣钱。,你好，我今天还款日，有点事，早上余额不足，提醒下午会再次扣款，也没有扣,1
提前还钱有没有利息啊,我第一次还款是2006.1.8日吗？如果提前还款，利息照算吗？,1
什么时候到账？已经确认超过半个小时了,什么时侯到帳？,1
借几天就还怎么收费,只要借借款2000 周期29天 利息多少,0
如何提升额高,如何提升额(⊙o⊙)…,1
1看不到微粒贷路标,入口在哪里,0
不好意思，错过了审核电话,刚接过一次电话，之后就没再打过来,1
可否提现？,借款可以提现的吗,1
什么时候会再打电话过来,一般审核借款要多久时间？,0
现在没风，小粒贷啊，我什么时候可以贷款啊,还完以后，额度回来能马上再借吗？,0
不能贷,刚才我办理了贷款，但点了确实借款就什么提示都没有？,0
还款日从早上几点到晚上几点,还款有规定时间的吗,0
零钱不能还款？,零钱怎么不能还？,1
建设银行支持吗,支持银行是那些,1
2微众银行app,一打开微众APP，不是我登录的那个QQ号，我问怎么进入我登录的那个QQ号，来登录？,0
如果今天借明天还是否只用付一天利息,可以提前还款吗？利息怎么算？,1
不好意思，刚手机没信号,不好意思刚刚没有带手机,1
入口,我上面有微粒贷入口，可没批，怎么回事,0
你好！借款成功后到卡可以取现金吗？,你好，为什么微信提现这么慢，,0
为什么，我的额度没有恢复,以还款的部分额度没有回复为什么,0
12个小时了还没联系,没有人打电话,1
您好，我想关闭微粒贷，可以吗？,微粒贷会自动关闭吗,0
3借款期限,如何更改分期期数,0
借12000每天的利息是多少？,了解微粒贷计息详情,0
为什么还款日显示是12月21日,1号借几时还款,1
显示综合评估未通过，无法借钱。是怎么回事？,信用情况,0
多久才可以进行下一次借款,提前还完能再借吗,0
10000分20期，一天的利息,100元钱利率一个月是多少,0
APP哪儿下载,APP我下载好了,0
没有接到电话是否要再次提出申请？,第一次打没有接听到  第二次什么时候打,1
更改了电话号码,怎么更改电话,1
如何加入小粒,借十天选择哪个,0
20个月五千元利息不是325吗？,19点我的卡里有钱，为什么会提示还款失败？,0
在哪里贷呀,为满足要求,0
微粒贷在哪儿？,微粒贷有图标怎么没额度？,0
你好，自动还款失败了，能不能在5点前，自己手动还款？还是必须等到5点再一次自动扣款？,怎么提额度,0
微粒贷影响银行按揭审批吗,开通微粒贷必须先绑定银行卡吗,0
现在还款要怎么操作,能用其他方式还吗？,0
开通 何时邀请我使用微粒贷,开通资格,0
我有一爱贷款，我现在提前还清，然后能再贷出来吗？,提前还款后信用额度是否提升？,0
你好，可以换银行卡还款吗？,换卡后如何还款,0
没接到电话,刚刚电话占线，没有接到电话,1
2500几时到账,一搬多长什么时候到账,1
卡里有钱，但是提示还款失败,我是说要还的款我早己存在了卡上，今早收到信息说扣款未成功，我怕因为你们的系统问题影响了我的征信,0
如何开通,开通问题,1
到帐的钱可以取出来吗,你好，微粒贷可以直接提取现金吗？,1
如何加入微粒贷,什么时候才能有微粒贷名额？,0
是否可以更换手机号码,手机号码已换,1
你好，我把还款金额在微信上，可以扣款不,从微信还钱,1
1支持的银行卡有,微粒贷支持什么银行卡贷款,1
为什么现在不能主动还款,现在是不是不能还款,1
则获取资格,已经看到图标了，到最后无反应,0
1500逾期罚息一天多少,为什么按时还款没有提额,0
几时全部开放,全面开放大概多久,1
11点多就打款了怎么还没到帐啊,14000还没有到账喔,1
再也不用微信支付了,不开通给我，我找支付宝贷,0
电话号码可以更改吗,我现在换了电话号码，这个需要更换吗,1
你好，刚刚打电话我没接到。,今天没接到电话，现在能打过来吗？,1
为什么我的钱没到账,借款了但是沒有收到,1
提前还款，必须全部还请吗？不可以只还一部分，过几天在还一部分吗,提前还款能一部分一部分还吗？比如5000,1
我怎么不能申请微粒贷,为什么我不能申请微粒贷,1
审核中贷款如何取消,锁定是什么,0
我要降额度,总额度会降低吗,0
人工服务,我要是没写全深圳前海微粒贷还款专用户这几个字会不会收不到款,0
为什么总是让我输入密码验证身份,为什么来短信输入验证码输入支付密码之后又来短信又需要输入,1
关闭借钱功能,怎么关闭,1
微粒贷在那下载,微粒怎么进不了啊。,1
账单详情,能不能把我的所有账单发给我,1
不是绑定其他银行卡，是直接取消绑定任何一张卡,转出,0
我在申请微粒贷，原银行手机号码早已更换，接收动态码还是原手机,微粒贷申请时，会发验证码到手机号，请问那个手机号是什么手机号码，可以改吗,1
你好，是不是我用几天就算几天利息啊,借几天还款要扣一个月利息么？,1
怎么样关闭微粒贷,微粒贷可以取消吗,1
什么时候可以开始借钱了,什么时候可以借款啊？？ 你好,1
你们打电话，我没接到,电话刚刚未接到,1
我今年9月份借贷2万，10个月利息1600多，然后现在10份再借贷2万，10个月利息要1900多了，怎么增加了,你好，我微粒贷5点还款失败了，我怎么操作还上本期的金额呢？,0
一般申请什么时候客服打电话,一直等待电话确认怎么办？,0
可以提取现金么？,取现可以吗,1
“如何提前还款”,5号借款 今天怎么提前还清,1
如何认证,如何认证身份,1
如何关闭微粒贷账户,钱还没打来，不能马上到我不要了，帮我取消,0
借贷结清证明,这个能一次性还清吗？,0
今天一直登录不了，显示网络错误，怎么回事,人脸识别怎么不成功,0
如果下次我想用钱能不能提额度,怎么变成客人,0
能从微信零钱里扣钱嘛？,零钱包能不能还款,1
取消微粒贷如何办理,取消刚刚申请,0
额度怎么减少了？,能不能降低额度？,0
怎么没有审核电话打来呢？,刚接过一次电话，之后就没再打过来,1
取消卡,还清以后可以注销吗,1
身份证错误,身份证输错怎么办,1
可以用几天还几天的利息吗,多久付一次利息,0
微粒货需要绑定什么银行卡吗？,6217 0029 5010 0786 944建设银行,0
您好，我想关闭微粒贷，可以吗？,给我关了微粒贷，谢谢,1
扣了没^_^,我说钱可以扣了,0
你好，为何我有微粒贷15000的信息，我每次申请时总说身份验证错误输入错误不行啊,申请的时候是说我的身份信息输入错误次数太多,1
打开钱包没有微立贷,qq里面没有微粒贷,1
请问什么叫只能用于日常消费,贷出来的可以提到银行卡吗,1
微粒贷的活动免息的劵怎么领取？,如何获得微粒贷免息卷,1
借了两次都失败为什么？,借款不成功是怎么回事,1
逾期未还要扣多少,逾期咋计算的,1
你好，我按时还款了，可是为什么不能借款了呢？,余额足够还款，如果第二次扣款失败会怎样,0
为什么未通过审核,我未满足审核要求是什么意思,1
不可以过几天就全还上吗？,可以申请延后么,1
借的是现金吗,借款可以提现的吗,1
怎么降低微粒贷额度？,我刚才申请了借款，看看成功了没有，最后一步老是没反应,0
没接到你们的回访电话,就是早上九点多的时候打过来一次确认电话，但是我没有接到,1
我微信钱包里怎么没微粒贷的入口？,QQ微粒贷和微信的有什么区别,0
我能不能推迟几天还款呢,延期一天吧。我微信取款每到银行卡,1
3分钟等电话，5分钟都过去了还没接到,2天都没打电话过来呀,1
如果借五千 那一天多少利息,4000的一天利息是多少？,1
为什么去了届后点击申请额度、弹出一个无法查看额度,以还款的部分额度没有回复为什么,0
为什么不给审核通过,为什么我的审核未能通过？,1
说不满足审批要求，不知什么原因？,看的到图标为达到银行审批什么意思呢,1
可以取钱出来吗,微信里的钱忘记提现！！,0
银行电话号码更改了怎么办,更改了银行电话号码,1
可以提问吗,在不在？,0
还款完以后几时可以再借,还款后什么时候可以借款,1
为什么手机上面没有微粒贷,为什么有微粒贷然后没额度,0
微信贷款支持什么银行？,交通银行不支持的吗,0
当出现逾期的时候，是还会自动还款，还是需要我手动还款,微信怎么直接还款,0
服务号码,你电话号码是,1
页面被,为什么借款失败,0
为什么最后一步密码填写完后又自动弹入微粒贷首页,为什么我输入密码后他还是跳到额度的界面,1
一个小时了还没有到账,为什么这么久了我微粒贷还没开通,0
为什么会说我那不符合呀,为什么会借款不通过,1
为什么我的微粒贷开通不了，比我qq等级低的都开了，我的qq用了10几年,为什么我的微粒贷开通不了,1
8月27号借什么时候还款,何时是我的还款日,1
我想开通微粒贷,微粒贷可以贷款吗,0
二千一天多少息,18000日息多少一天,1
借款后多长时间给打电话,提出借款后，多长时间接到确认电话,1
没有提前还款选项,还款后额度没有变化,0
一天五块一万块钱分十个月还利息多少,为啥两笔贷款利率不一样？,0
一般要多久我们借款人才能拿到款项,‍什么时候到钱包上,1
官网有吗,怎么进你们首页,1
没有按时还的处理办法,三天后还款，给三天的利息吗,0
:我共计借了18000元钱，现在想先还10000怎么还,假如货一万每月还本金和息是多少？谢,0
一次只可以借4万吗,每次只能借40000吗,1
我想问下如何关闭微粒贷账户,怎么样关闭微粒贷这个功能,1
借款多久能打电话给我,什么时候再次致电,0
为什么借钱时输入密码和收手机验证码来回跳,可不可以设置密码,0
你好杂借钱,你好 我现在不能使用这个借钱吗？,0
你好，到我咨询了吗,您好，我想提高额度，怎么办？^_^,0
我要一下对帐单明细,我的账单详情,1
什么叫没达到审批要求？,为何审批没通过,1
你好本期账单能提前还款码（主动还）,可不可以提前还清啊,1
不能提前还一部分吗,30号我一次性还清可以不,1
还款结清证明,还款证明,1
哪邀请一下我啊 怎么开通啊,“如何开通”,1
一次性提现多少,7000可以提现吗,1
我想降低额度,额度会不会上调或者降低,0
可以更改下还款日期吗,如何改变还款日期,1
我的怎么用不了,你有办法帮我吗,1
卡丢了！换个邮政的可以吗,可以绑定别人银行卡吗,0
一般早上申请的多久会来电？,什么时间来电话,1
不知道怎么还款,请问我本是一月3号的还款日我想今天就还本期的欠款如何操作,0
开通微粒贷,QQ上没有微粒贷，怎么开通,1
身份信息填写错误不能借款,出现身份证输入错误，可我输的都对的，说无法借款,1
热线电话,微粒贷联系电话多少啊,1
为什么综合评分不通过,为什么突然综合评分不通过不允许借款呢？,1
何时邀请我？ 谢了！,开通无额度,0
借款后多久下款,今天上午能到帐吗,1
你好，我之前在贵方办理了借贷，现已还清，请问可以由贵方出具一份结清证明吗？,可以给我发一份结清证明吗？,1
改分期,为什么今天看变成10个月,0
14000每天是多少钱的的利息,一万块分五个月还，每月要还多少本金，多少利息,0
评估未通过，是怎么一回事呢,综合评分不通过,1
微粒贷开通有什么条件,不开通微粒贷拿什么搞理财,0
邀请下我呗，好不,什么时候会邀请开通微粒贷？,1
条件不满足,看的到图标为达到银行审批什么意思呢,1
贷款合同,我的合同,1
为什么看不了额度,为什么邀用户但是没额度,0
办完多久到账,审请款没到,0
还款什么时间到账,我的款还进去了吗,1
还清可以再贷吗,提前还清不能再借,1
提交申请，几天能下来呢,我什么时候才能申请微粒,0
可以貸多少錢？,卡里还有多少钱,0
有工商银行吗？,工商银行,1
为什么我朋友的微信没有微粒贷呢？,我的好怎么没有微粒贷呢,1
我是说一次还清,还清，马上可以体现不,0
21号没扣钱,11.22日7.55还的钱怎么回扣款不成功,0
嗨,帮我催催微粒贷的电话审核，都一天了还没电话来，我急着要呢,0
你好，我想请问一下，如果我提前还清贷款，多长时间后可以重新借贷？,一次性还清后，可以再随时借吗,1
为什么我的页面不能提前还款,全部还款之后才有额度,0
未看到申请成功，可以取消借款吗？,我有笔借款麻烦帮我取消下,1
微粒贷不见了,微粒贷入口消失了,1
为啥我没有微粒贷,我为什么不能贷款,0
如何更改还款钰行卡问题,如何改還款銀行,1
怎么样才能通过审批,我申请的时候审批不过？,1
额度会降低吗？,额度什么情况会降低？,1
为什么我的微信没有微粒贷,我现在有事着急用钱，但微粒贷还没还完，可以提额吗,0
为啥申请的微粒贷还没到账,6月5日有个借款，银行账户没收到,1
借款没成功前，可取消借款吗,取消不成功借款,1
尽量快点给我进入微粒贷,借款成功为啥没打钱过来,0
绑定的银行卡能更换吗？,已绑定完了，尾号：6323。,0
你就不能告诉，我贷八千元，分十期还，没天的利息是多少，不就完了吗,你好借2000每天多少利息,1
为何我显示个人信息多次输入错误不能借款,为啥老是提示我输入身份证信息错误多次 无法借款,1
我在QQ里的微粒贷怎么不见了，能恢复吗,我的微粒贷入口不见了,1
微粒贷怎么邀请别人,微粒贷什么时候邀请,0
请帮助我关闭微粒贷,如何关闭这个,1
自己打电话确认可以吗,现在可以打电话过来给我吗？,0
提前还清借款对我个人信用有影响吗,电话没来确认就一个信息说审核未过,0
怎么重新绑定新的银行卡,如何借款，需要绑定银行卡吗,0
全额还清能在借么？,提前还款了，然后额度冻结了,0
为啥我每年消费那么多都没给我额度,一共还有多少借款未还？,0
你好，能不能跟我开个结清证明电子版,你好，有没有提供结清证明的！,1
借1万也是日利息吗,日利率最低是多少？,0
你好我借2.5万只用三天多少利息,当天借款当天24:00前还，要收手续费吗？,0
能不能给我个开通了,微粒贷可以申请吗？,0
你好、可以一次延迟三天到五天还款吗？,我逾期了一天我该怎么还款,0
借款后可以作为什么用途,这个说次日还没有违约金是什么意思。。。,0
还了一半了能不能继续贷款,第一期还了还可以把钱借出来吗？,1
申请贷款需要哪些资料？,申请要什么资料,1
你好，我想问一下，这个会盗取我的资料信息吗,个人信息不匹配,0
13号之内把钱存进去算违约吗,还会自动扣款吗？现在账上已存有足额了。,0
两天算逾期吗？,你好，偶尔逾期一天或者两天会不会有不良记录？,0
怎么领优惠券,在哪里获得优惠券,1
请问微粒贷是怎么邀请的,一周年不放名额,0
为啥我求求里面没有微粒贷,为什么能开出腾讯信用却没有微粒贷，朋友的没用腾讯信用却有30000的额度呢？？,1
升级后就登录不了,都是没用的，要咋打开，光闪退,0
如果我借款4万，每月还本金多少？利息多少？,为什么前后两次同样额度的借款利息不一样,0
+怎么开通,如何申请微粒贷,0
今天借过几天还是按日算利息吗？,使用微粒贷借款多久之内还款没有利息？,0
借款后几时能收到银行的确认电话？,借钱后等电话确认,0
微粒贷什么时候再次开放,我借款20笔能不能再次借款？,0
我朋友也想申请微粒贷，可是都没有,我刚刚看了木有微粒贷图标,1
为什么我没有审核通过,一般几天能借到钱,0
我想解除银行卡怎么解除,注册会员,0
为什么我的微粒贷突然消失了,微粒贷不用会消失吗,0
一般在什么时间联系,下午5点申请的，几点电话确认,0
为什么有入口没有额度,为什么我没有额度 为什么我没有微粒贷,0
一帮钱什么时候到账,多久到钱,1
多笔多款利息计算,多笔借款利息多少,1
快点介绍借钱 怎么借钱,怎么才能借贷,1
借的钱！是自动扣银行卡里的吗？,假如在当天扣款，而卡上没钱扣，那会怎样？？,0
但是每笔不能超过4万？,一次最高多少额度,1
今天刚刚借款，首次还款在下月12号？,几号还款呢？,1
为什么银行卡有钱却扣不了？？,19啦怎么不扣,1
为什么老是说审核不通过,为什么我审核都是不通过？,1
借款可以提现的吗,我不想借款了，怎么取消,0
为什么我被选中却没有额度,为什么我没有额度的呢,1
为什么我没有额度可以用呢,为什么开通了微粒贷没有额度呢,1
QQ借款咋还没下来,1小时过去借款还没有下来,1
为什么不可以提前还款,下个月的还款能提前还款吗,0
怎么申请微粒贷？,怎么才有微粒贷,1
审批未通过,审批不通过,1
可以随借随还吗,如何结款,1
我的贷款已提前还清，能不能提供一份纸质还清证明?急用。谢谢。,你好，如果我借了一笔钱，我选择的是十期还清，在我还了5期后，剩余的钱能一次性还清吗？利息是只算到我还款当天吗？,0
提交后显示未满足审批要求,我怎么未满足微众银行审批要求？,1
你好，借款只能分期还吗？？,可以分几期,0
取消审核,取消刚才的申请,1
这个利息怎么计算,我借5000元需要利息,1
手机号码绑定,今天是还款日 我刚刚绑定了还款卡 请问今天是否就在这新绑定的卡上扣钱呢,0
我想问下如何关闭微粒贷账户,我想立刻关闭微粒贷，怎么弄,1
怎么增加内部综合评分,内部综合评分什么意思,0
什么是人行征信,怎么满足审批要求,0
我可以微粒贷吗,微粒贷客服电话,0
查看借款记录,我在哪里可以查询我的借款记录,1
免息微粒贷优惠券,优惠卷哪里有,0
如何提前还款？,我就是提前还款，完了一笔,0
联系电话,为什么账户余额不能还微粒贷,0
借六万用一季度利息多少,一万块钱  一个月多少利息,1
我怎么未满足微众银行审批要求？,为什么我的显示未满足微众银行要求？,1
关闭了微粒贷想重新起用,已关关微粒贷的重新启用,1
一直审核,一般审核时间是几天,0
一直没消息,不要借贷了,0
到期没有本金没还光还利息可以嘛,可不可以帮我打个无欠款证明,0
2更改还款银行卡,2.如何修改还款银行卡,1
修改绑定银行卡,如何绑定另一张银行卡,1
可以给我开通微粒贷 我可以申请微粒贷,1.合适会邀请我使用微粒贷,0
为什么审核会未通过？,为什么发给我可以借钱了，可是没通过,1
额度不够怎么办,微粒贷没有额度,0
开通微粒貨需要什么费用,你好，微粒贷超期的费用怎么计算？,0
用微信零钱能转吗,可以用微信零钱还款吗,1
怎么更换手机号,更换电话,1
我退掉,取消算了，,1
为何办不了贷款,就是不可以借钱,1
晚一天算不算逾期,晚还款一天会造成逾期吗,1
为什么借款还没到账,三分钟怎么还没到账啊,1
你好，怎么更改电话号码,银行预留电话已更改怎么办,1
微粒贷利息是怎么样收的,微粒贷提现有手续费吗,0
额度会不会上调或者降低,过了还款期，以后贷款额度会降低吗,0
审核电话没接到,没接到电话,1
申请的额度能取现吗,去银行可取现金吧,1
之前绑定的银行卡掉了怎么办,Qq和微信可以绑定吗,0
这个没有违约金是什么意思,有没规定次日几点前还款才不收违约金？,1
为什么我开不了户呢,为什么微粒贷开通不了？,0
你好，如果我要提前还清借款，怎么办？,借款可以提前一次还清吗？,0
银行怎么没有扣款,我9号怎么没有自动还款,1
为什么今天零点没扣钱？,10月12号凌晨怎么不自动扣款 还款呢？,1
微粒贷开通失败原因,您好，請問為什麼每次都是反應身份證有誤,0
我想取消可以嘛？,注销,1
怎么可以得到邀请呢！,怎么样可以收到邀请,1
还款会提前通知吗？,不想要微粒贷出现,0
4:怎么计息,借款20000，20个月，利息多少钱,0
1000块钱借一天多少钱,0.o5%如果借15000元，日息是多少,0
可以一次性把款都还完吗？我选的是五个月的,提前还款后面还有利息吗？,0
点了开不了,有我开通微粒袋怎么接不了款,0
我要取消银行卡绑定,"我绑定的银行掉了，已挂失补了,但是新号码和前面号不一样,我现在有微粒贷怎还款？",1
不能提前还一部分吗,你好能不能提前还两月的,0
比如说我借了2000块钱，分5个月的还清的，现在才用了几天，我想把它全部还清，那还会有多余的利息吗？,请问  如果借款几日后  要一次还清  那么利息是否只是还前几日的,1
为什么说什么身份证后4位输入多次错误？,我操作失误～银行卡后四位跟身份证后四位记混了！信息提示身份验证次数过多无法申请！！！能帮忙解决下吗,1
如果手机掉了，应该怎么做，才能保障微众银行里面的钱？,开放期的基金要赎回，怎么都没找到赎回按钮，我要赎回！！！,0
如果获取权限,怎样才算受邀微信用户,1
借款期限、如何申请,借款期限最长为多久,1
多久来电话审核,刚没有接听电话什么时候再打昵,1
提前还清借款额度会马上恢复吗？,怎么我没有,0
为什么借款一直失败,却审核不通过,0
全部还款后额度会增长吗,全额还款后就会恢复吗？,0
微粒贷的入口在哪里,入口,1
10几万交易额居然没有入口,上面没这图标,1
未满足审批要求？？,未满足审批,1
每月会发帐单过来吗？,查账单,0
如何开户微粒袋,‍开户‍来不‍了‍怎么办,0
为什么达不到审核标准,为什么我无法满足审核条件,1
微粒贷怎么才能使用,下载后如何使用,1
在征信上有显示借款记录吗,只看到后来借的3000的还款记录,0
关闭微粒贷,怎么关闭微粒贷哦,1
五千块的利息怎么算？,2500的一天利息是多少,1
10000万元借一个月要还多少利息？,在还款期间会不会提高借款额度的？,0
没到时间还钱了还收利息吗？,这个微粒贷是按到账时间计算利息吗,0
想借钱,几点开始,0
为什么我的微粒贷申请失败了,惜款失败,1
多久就能提高额度,多久会提次额度,1
个人信息补全,信息非法,0
借钱的时候显示不符合微众银行审批要求,我怎么会未满足审批要求,1
你好，怎么更改电话号码,银行预留手机早丢了,1
等待电话确认,还没有电话联系我呢,1
有一笔借款等待银行电话确认。为什么收不到确认电话？,还没接到电话！,1
为什么信用评估未通过,为什么我的显示未通过,1
又没有名,为何我没借钱功能,1
为什么我贷款不成功呢？,为什么我审核未通过？,1
还款是什么时候,我什么时候应该还款？,1
我每月流水都5万多？怎么没有呢,交易流水打印,0
你能做什么,我有微粒贷的头标，但看不到申请和额度,0
哪天是我的还款日,如果我现在借20000，分10期，下次还款日是那一天,1
现在不能主动还款吗？,我现在怎么不能还款了,1
请问我换了手机登录微信 就没有看到微粒贷了,我换手机，怎么查微粒贷信息,1
我要关闭微粒货,请帮助我关闭微粒贷,1
不好意思，刚刚手机没有电了,不好意思，刚才手机在充电,1
25000是可以取现的吗,可以取钱出来吗,1
不能投资是吧,借款可用于买房吗,0
一帮钱什么时候到账,一般贷款多久能到,1
8号还款是不是到凌晨12点才算逾期,上个月系统问题推迟了几天还款算不算逾期？,1
可以关了吗？,注销之后还在吗,0
假如我借20000，分10个月，我可不可以提前还款？利息如何计算？,你好，若提前还款，怎样计利息？,0
综合评估为何过不了,为什么综合评估不合格,1
、刚才没有接到借款确认电话、能否再拨过来,没有及时接到电话多久再次来电,1
开通为微粒贷,开通个人货款,1
借2500元，一天利息是多少,2000块钱 一天多钱的利息,1
如何推迟或改期还款,我可以改日期还钱吗？我要推迟就好怎么做？,1
怎么认证身份证,在哪身份认证,0
打印流水、该怎么打？,打印交易流水,1
怎么今天用微信登录不了微众银行？,不能登陆微众银行客户端,1
请问我不需要贷款怎么取消,请问如何取消申请微粒贷,1
日利率是多少啊,我想问一下，这个月息是多少,0
查询我的还款,帮我查询一下我的账单是否有问题,1
怎么关闭,请帮助我关闭微粒贷,1
微粒贷可以重新开启,我以前关闭微粒货，现在想重新开通,1
现在马上想要。还清证明,我借了一千，十天后我一次性还清要还多少钱,0
用微信零钱能转吗,贷款的钱是到微信钱包呢还是到银行卡,0
会不会泄露个人信息？,个人信息不符,0
我要降低信用额度,请你们将我的微粒贷额度降为0,1
咋开通微粒号,咋开通微粒代,1
怎么注销账号,我想关闭此功能,1
调额,活期是安复利计算么,0
多久来电话,银行电话多久能打来,1
借了款不用利息可否不算,借款发放失败，原申请以撤销是什么意思,0
日息多少如何算？,一日利息多少,1
想问一下今天还款日，我的扣费了吗,我8月5日的还款是否成功,1
1万元一天息是多少？,借一千块钱每日利息那不是五毛钱？,1
我16号扣款 刚看了下还款帳号 你们怎么还沒扣,我3号还款为什么没有扣啊,1
只要借款 不论什么时候还 都会产生利息对嘛？,微粒代今天什么时候扣费？,0
借款后多久打电话啊,提出借款后，多长时间接到确认电话,1
如果我现在退借可以吗,撤销借款,1
直接关了就行了,预留手机号停用了怎么办,0
假如我代4万分20期，本息每期还多少,10000元分20期还还了3期后还有多少钱未还,0
